deposition: (413,136) 0
diffusion (413,136) 1 => (413,137) 0
deposition: (906,182) 0
diffusion (906,182) 1 => (906,183) 0
diffusion (413,137) 1 => (414,137) 0
diffusion (414,137) 1 => (413,137) 0
diffusion (413,137) 1 => (414,137) 0
diffusion (906,183) 1 => (907,183) 0
diffusion (414,137) 1 => (414,138) 0
diffusion (414,138) 1 => (415,138) 0
diffusion (907,183) 1 => (907,184) 0
diffusion (907,184) 1 => (906,184) 0
diffusion (415,138) 1 => (414,138) 0
diffusion (414,138) 1 => (414,139) 0
deposition: (1020,222) 0
diffusion (906,184) 1 => (906,183) 0
diffusion (906,183) 1 => (906,184) 0
diffusion (1020,222) 1 => (1019,222) 0
diffusion (414,139) 1 => (414,140) 0
diffusion (414,140) 1 => (414,139) 0
deposition: (831,2) 0
diffusion (831,2) 1 => (832,2) 0
diffusion (832,2) 1 => (831,2) 0
diffusion (414,139) 1 => (414,138) 0
deposition: (730,7) 0
diffusion (906,184) 1 => (906,183) 0
diffusion (730,7) 1 => (730,8) 0
deposition: (24,17) 0
diffusion (831,2) 1 => (832,2) 0
diffusion (906,183) 1 => (906,184) 0
diffusion (414,138) 1 => (414,139) 0
diffusion (730,8) 1 => (731,8) 0
deposition: (465,82) 0
diffusion (906,184) 1 => (905,184) 0
diffusion (905,184) 1 => (905,183) 0
diffusion (1019,222) 1 => (1020,222) 0
diffusion (24,17) 1 => (23,17) 0
diffusion (465,82) 1 => (464,82) 0
diffusion (464,82) 1 => (464,83) 0
diffusion (23,17) 1 => (22,17) 0
diffusion (832,2) 1 => (831,2) 0
deposition: (485,249) 0
diffusion (1020,222) 1 => (1020,221) 0
diffusion (905,183) 1 => (906,183) 0
diffusion (464,83) 1 => (464,84) 0
diffusion (831,2) 1 => (831,3) 0
diffusion (464,84) 1 => (463,84) 0
diffusion (414,139) 1 => (413,139) 0
diffusion (831,3) 1 => (832,3) 0
diffusion (413,139) 1 => (412,139) 0
diffusion (412,139) 1 => (412,138) 0
diffusion (832,3) 1 => (831,3) 0
diffusion (412,138) 1 => (413,138) 0
diffusion (463,84) 1 => (464,84) 0
deposition: (56,49) 0
diffusion (731,8) 1 => (730,8) 0
diffusion (730,8) 1 => (730,9) 0
diffusion (413,138) 1 => (413,139) 0
diffusion (1020,221) 1 => (1021,221) 0
diffusion (22,17) 1 => (21,17) 0
diffusion (906,183) 1 => (906,182) 0
diffusion (485,249) 1 => (484,249) 0
diffusion (730,9) 1 => (731,9) 0
diffusion (56,49) 1 => (56,50) 0
diffusion (906,182) 1 => (907,182) 0
diffusion (731,9) 1 => (731,8) 0
diffusion (831,3) 1 => (831,2) 0
diffusion (464,84) 1 => (464,85) 0
deposition: (273,189) 0
diffusion (413,139) 1 => (413,140) 0
diffusion (907,182) 1 => (907,183) 0
diffusion (56,50) 1 => (55,50) 0
diffusion (21,17) 1 => (21,16) 0
diffusion (273,189) 1 => (274,189) 0
diffusion (55,50) 1 => (55,51) 0
diffusion (413,140) 1 => (413,141) 0
diffusion (1021,221) 1 => (1021,220) 0
diffusion (413,141) 1 => (413,140) 0
diffusion (55,51) 1 => (56,51) 0
diffusion (56,51) 1 => (56,52) 0
diffusion (1021,220) 1 => (1021,219) 0
diffusion (464,85) 1 => (464,84) 0
diffusion (413,140) 1 => (413,139) 0
diffusion (907,183) 1 => (907,184) 0
diffusion (1021,219) 1 => (1020,219) 0
diffusion (274,189) 1 => (274,190) 0
diffusion (21,16) 1 => (21,17) 0
diffusion (21,17) 1 => (21,16) 0
diffusion (907,184) 1 => (907,185) 0
diffusion (56,52) 1 => (57,52) 0
diffusion (907,185) 1 => (906,185) 0
diffusion (731,8) 1 => (732,8) 0
diffusion (21,16) 1 => (22,16) 0
diffusion (1020,219) 1 => (1019,219) 0
diffusion (1019,219) 1 => (1020,219) 0
diffusion (1020,219) 1 => (1021,219) 0
diffusion (831,2) 1 => (830,2) 0
diffusion (484,249) 1 => (484,250) 0
diffusion (484,250) 1 => (483,250) 0
diffusion (274,190) 1 => (274,189) 0
diffusion (274,189) 1 => (274,190) 0
diffusion (413,139) 1 => (413,140) 0
diffusion (732,8) 1 => (732,7) 0
deposition: (58,238) 0
diffusion (58,238) 1 => (57,238) 0
diffusion (464,84) 1 => (463,84) 0
diffusion (57,238) 1 => (56,238) 0
diffusion (56,238) 1 => (56,237) 0
diffusion (483,250) 1 => (483,251) 0
diffusion (413,140) 1 => (413,139) 0
diffusion (413,139) 1 => (413,138) 0
diffusion (830,2) 1 => (829,2) 0
diffusion (906,185) 1 => (906,184) 0
diffusion (732,7) 1 => (732,6) 0
diffusion (22,16) 1 => (23,16) 0
diffusion (732,6) 1 => (733,6) 0
diffusion (23,16) 1 => (22,16) 0
diffusion (56,237) 1 => (55,237) 0
diffusion (274,190) 1 => (275,190) 0
diffusion (55,237) 1 => (56,237) 0
diffusion (829,2) 1 => (830,2) 0
diffusion (275,190) 1 => (276,190) 0
diffusion (57,52) 1 => (56,52) 0
diffusion (413,138) 1 => (413,139) 0
diffusion (22,16) 1 => (21,16) 0
diffusion (733,6) 1 => (733,5) 0
diffusion (21,16) 1 => (20,16) 0
diffusion (830,2) 1 => (830,1) 0
diffusion (1021,219) 1 => (1020,219) 0
diffusion (830,1) 1 => (830,0) 0
diffusion (483,251) 1 => (483,252) 0
diffusion (276,190) 1 => (276,191) 0
diffusion (906,184) 1 => (907,184) 0
diffusion (413,139) 1 => (412,139) 0
diffusion (463,84) 1 => (463,85) 0
diffusion (733,5) 1 => (733,6) 0
diffusion (1020,219) 1 => (1019,219) 0
diffusion (830,0) 1 => (830,1) 0
diffusion (907,184) 1 => (907,185) 0
diffusion (463,85) 1 => (463,84) 0
diffusion (733,6) 1 => (734,6) 0
deposition: (7,44) 0
diffusion (1019,219) 1 => (1020,219) 0
diffusion (7,44) 1 => (7,43) 0
diffusion (463,84) 1 => (463,85) 0
diffusion (56,52) 1 => (56,51) 0
diffusion (20,16) 1 => (20,17) 0
deposition: (925,228) 0
diffusion (7,43) 1 => (7,42) 0
diffusion (483,252) 1 => (482,252) 0
diffusion (7,42) 1 => (6,42) 0
diffusion (20,17) 1 => (20,16) 0
diffusion (20,16) 1 => (20,17) 0
diffusion (482,252) 1 => (482,251) 0
diffusion (830,1) 1 => (830,2) 0
diffusion (412,139) 1 => (413,139) 0
diffusion (830,2) 1 => (831,2) 0
diffusion (734,6) 1 => (734,5) 0
diffusion (56,51) 1 => (56,52) 0
deposition: (263,115) 0
diffusion (20,17) 1 => (19,17) 0
diffusion (6,42) 1 => (6,43) 0
diffusion (925,228) 1 => (925,229) 0
diffusion (482,251) 1 => (483,251) 0
diffusion (907,185) 1 => (907,186) 0
diffusion (925,229) 1 => (925,230) 0
diffusion (276,191) 1 => (275,191) 0
diffusion (275,191) 1 => (274,191) 0
diffusion (413,139) 1 => (413,140) 0
diffusion (925,230) 1 => (924,230) 0
diffusion (734,5) 1 => (734,6) 0
diffusion (907,186) 1 => (908,186) 0
diffusion (263,115) 1 => (263,116) 0
diffusion (413,140) 1 => (412,140) 0
diffusion (274,191) 1 => (274,192) 0
diffusion (908,186) 1 => (908,187) 0
diffusion (924,230) 1 => (924,229) 0
diffusion (6,43) 1 => (6,44) 0
diffusion (263,116) 1 => (263,117) 0
diffusion (412,140) 1 => (412,139) 0
diffusion (274,192) 1 => (273,192) 0
diffusion (56,52) 1 => (56,53) 0
diffusion (924,229) 1 => (923,229) 0
diffusion (263,117) 1 => (263,116) 0
diffusion (831,2) 1 => (830,2) 0
diffusion (412,139) 1 => (412,140) 0
diffusion (263,116) 1 => (263,115) 0
diffusion (56,237) 1 => (55,237) 0
diffusion (463,85) 1 => (464,85) 0
diffusion (263,115) 1 => (264,115) 0
diffusion (6,44) 1 => (7,44) 0
diffusion (19,17) 1 => (18,17) 0
diffusion (483,251) 1 => (484,251) 0
diffusion (18,17) 1 => (18,18) 0
diffusion (273,192) 1 => (272,192) 0
diffusion (7,44) 1 => (8,44) 0
diffusion (830,2) 1 => (831,2) 0
diffusion (412,140) 1 => (411,140) 0
diffusion (923,229) 1 => (924,229) 0
diffusion (734,6) 1 => (735,6) 0
deposition: (203,94) 0
deposition: (845,227) 0
diffusion (411,140) 1 => (410,140) 0
diffusion (55,237) 1 => (55,236) 0
diffusion (735,6) 1 => (736,6) 0
diffusion (924,229) 1 => (924,228) 0
diffusion (831,2) 1 => (830,2) 0
diffusion (924,228) 1 => (924,229) 0
diffusion (272,192) 1 => (272,191) 0
diffusion (830,2) 1 => (831,2) 0
diffusion (484,251) 1 => (484,252) 0
diffusion (924,229) 1 => (925,229) 0
diffusion (484,252) 1 => (485,252) 0
diffusion (1020,219) 1 => (1019,219) 0
diffusion (845,227) 1 => (845,226) 0
diffusion (845,226) 1 => (844,226) 0
diffusion (8,44) 1 => (7,44) 0
diffusion (925,229) 1 => (926,229) 0
diffusion (272,191) 1 => (272,192) 0
diffusion (55,236) 1 => (55,237) 0
diffusion (56,53) 1 => (55,53) 0
diffusion (831,2) 1 => (831,1) 0
diffusion (410,140) 1 => (410,139) 0
diffusion (55,237) 1 => (54,237) 0
diffusion (926,229) 1 => (925,229) 0
diffusion (203,94) 1 => (202,94) 0
diffusion (925,229) 1 => (924,229) 0
diffusion (831,1) 1 => (830,1) 0
